primary_energy_consumption,energy_class,reference_number_of_the_epc_report,co2_emission,yearly_theoretical_total_energy_consumption,price,address,listing_type,tenement_building,space,floor,kitchen_type,bedrooms,toilets,heating_type,double_glazing,number_of_floors,number_of_frontages,living_area,living_room_surface,bedroom_1_surface,furnished,terrace_surface,intercom,address2,website,external_reference,agency,building_condition,elevator,accessible_for_disabled_people,swimming_pool,available_as_of,description,type_of_building,outdoor_parking_spaces,bedroom_2_surface,bedroom_3_surface,bedroom_4_surface,bedroom_5_surface,construction_year,living_room,dining_room,laundry_room,basement,air_conditioning,jacuzzi,sauna,internet,surroundings_type,gas_water_and_electricity,id
"504 kWh/m²
kilowatt hour per square meters",G,20170531-0000505140-01-08,80 kg CO₂/m²,Not specified,"€800 (+ €30)
800€ + 30€ per month",1060 — Saint-Gilles,Apartment for rent,No,"1 bedroom | 50 m²
square meters",1.0,Hyper equipped,Unknown,1.0,Gas,Yes,2.0,2.0,"50 m²
square meters","< than 50 m²
square meters",Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,As new,No,No,No,Unknown,"Magnifique appartement 1 chambre entièrement rénové idéalement situé en dessous du Parc de Forest et à proximité de toutes les commodités.
L'appartement se compose d'un hall d'entrée, une chambre, un salon, une cuisine équipée , une salle de douche avec WC et emplacement machine à laver + débarras a l'entresol.
L'appartement a été complètement rénové : chaudière gaz condensation, nouveaux châssis, copropriété de 4 unités. Provisions de charges de 30€/mois pour les communs et l'assurance. Appartement coup de cœur a visiter rapidement!",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1900.0,Possible No,No,No,No,No,No,No,Yes,"Living area (residential, urban or rural)",Unknown,27
Not specified,Not specified,Not specified,Not specified,Not specified,"€970/month
970€ per month",Ask for the exact address,Apartment for rent,No,1 bedroom,4.0,Hyper equipped,Unknown,2.0,Gas,Yes,999.0,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,As new,No,No,No,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Unknown,Unknown,28
"197 kWh/m²
kilowatt hour per square meters",D,202102160000582878019,Not specified,Not specified,"€2,400 (+ €250)
2400€ + 250€ per month",1180 — Uccle,Apartment for rent,No,"3 bedrooms | 140 m²
square meters",999.0,Hyper equipped,"20 m²
square meters",2.0,Gas,Yes,999.0,3.0,"140 m²
square meters","42 m²
square meters","20 m²
square meters",Yes,"50 m²
square meters",Yes,"Rue Alphonse Renard 1
1050 - Ixelles",http://www.emilegarcin.fr,Unknown,EMILE GARCIN BELGIQUE SPRL,Unknown,Yes,Unknown,Unknown,Immediately,"Exclusive location in the sought-after Observatory district, on the first floor of a luxury building, beautiful duplex apartment of 150m²brutes completely renovated in 2022 with a South West terrace and private garden. The receptions benefit from a spacious living room and a dining room with a nice view on the gardens, large open kitchen hyper equipped. Upstairs a master suite with dressing room, shower room, two bedrooms with separate shower room. Two cellars and two parking spaces ( 40.000€ extra). Peb D-",All kind,-1.0,"14 m²
square meters","13 m²
square meters",Unknown,Unknown,1979.0,Possible No,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,29
"101 kWh/m²
kilowatt hour per square meters",C,562194-N-2-5-3-2,19 kg CO₂/m²,Not specified,"€1,400 (+ €250)
1400€ + 250€ per month",1140 — Evere,Apartment for rent,No,"2 bedrooms | 80 m²
square meters",1.0,USA hyper equipped,"14 m²
square meters",1.0,Gas,Yes,6.0,2.0,"80 m²
square meters","32 m²
square meters","14 m²
square meters",Yes,"32 m²
square meters",Yes,"Vorstlaan 292
1160 - Oudergem",Unknown,5233350,Skyline Renting Services,As new,Yes,No,No,Immediately,"AMP AB 1.1 - MIN. 1 YEAR CONTRACT - The Ambassador Park project is located in a unique location, right next to NATO, stores and public transportation. Here we offer you a beautiful and luxurious apartment with a very high level of finishing. The apartment has an area of about ±80m² located on the 1st floor of a building with 6 floors (2019). The furnished apartment consists of 2 bedrooms with a shared balcony, an entrance hall, a living room with access to a large garden with terrace, a fully equipped kitchen, a laundry room with washer/dryer, a bathroom, and a separate toilet. Double glazing. Possibility to rent a parking space in the building for 100€. Monthly provision of 250€ for common charges, cold water, hot water and heating. On top of the rent and the 250€ provision for the charges, you’ll have to take a separate contract for your electricity, internet and insurance at your cost.",All kind,-1.0,"10 m²
square meters",Unknown,Unknown,Unknown,2018.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,30
"182 kWh/m²
kilowatt hour per square meters",B,20200710-0002292969-RES-4,Not specified,Not specified,"€825/month
825€ per month",9300 — Aalst,Apartment for rent,No,2 bedrooms,4.0,Installed,"14 m²
square meters",1.0,Gas,Yes,4.0,Unknown,"> than 50 m²
square meters","50 m²
square meters","14 m²
square meters",No,"6 m²
square meters",No,"Gentsesteenweg 145
9300 - Aalst",http://www.woonservicevdv.be,1246CC,Woonservice,As new,No,No,No,Unknown,No description,All kind,-1.0,"12 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,31
"251 kWh/m²
kilowatt hour per square meters",C,Not specified,Not specified,Not specified,"€900 (+ €20)
900€ + 20€ per month",1700 — Dilbeek,Apartment for rent,No,"2 bedrooms | 80 m²
square meters",3.0,Semi equipped,"14 m²
square meters",1.0,Gas,Yes,3.0,Unknown,"80 m²
square meters","27 m²
square meters","14 m²
square meters",No,"7 m²
square meters",Yes,"Gentsesteenweg, 736
1080 - Molenbeek-St-Jean",http://www.sybimmo.be,Nstng238,Sybimmo,Good,No,No,No,Unknown,No description,All kind,-1.0,"12 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,32
"404 kWh/m²
kilowatt hour per square meters",E,20200512-0002268610-RES-1,Not specified,Not specified,"€750/month
750€ per month",9660 — Brakel,House for rent,No,"3 bedrooms | 109 m²
square meters",999.0,Installed,Unknown,1.0,Fuel oil,Yes,999.0,Unknown,"109 m²
square meters","< than 109 m²
square meters",Unknown,Unknown,Unknown,Unknown,"Brusselsestraat 43
9660 - Brakel",http://www.immo-gosseye.be,"Sint-Pieterswijk 80,",Immo Gosseye,As new,Unknown,Unknown,Unknown,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,33
"117.92 kWh/m²
kilowatt hour per square meters",B,45035-G-2011_512/EP12547/E290/D01/SD009,Not specified,Not specified,"€720 (+ €75)
720€ + 75€ per month",9700 — Oudenaarde,Apartment for rent,No,"2 bedrooms | 118 m²
square meters",2.0,Unknown,"9 m²
square meters",1.0,Unknown,No,2.0,Unknown,"118 m²
square meters","35 m²
square meters","9 m²
square meters",No,"7 m²
square meters",Yes,"Dokter Honore Dewolfstraat 23
9700 - Oudenaarde",http://www.nobels.be,3400089,Immo Nobels,As new,Yes,No,No,Unknown,No description,All kind,-1.0,"29 m²
square meters",Unknown,Unknown,Unknown,2014.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,34
"154 kWh/m²
kilowatt hour per square meters",B,20221207-0002747579-RES-1,Not specified,Not specified,"€700/month
700€ per month",9300 — Aalst,Apartment for rent,No,"2 bedrooms | 95 m²
square meters",2.0,Unknown,Unknown,0.0,Unknown,No,2.0,Unknown,"95 m²
square meters","< than 95 m²
square meters",Unknown,Unknown,Unknown,No,"Capucienenlaan 106
9300 - Aalst",http://www.derick.be,ErembodegemDorp113-T,De Rick Vastgoedadvies,As new,Yes,No,No,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1980.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,35
"112 kWh/m²
kilowatt hour per square meters",B,Not specified,Not specified,Not specified,"€515/month
515€ per month",8500 — Kortrijk,Studio for rent,No,"45 m²
square meters",3.0,Unknown,Unknown,1.0,Gas,Yes,4.0,Unknown,"45 m²
square meters","< than 45 m²
square meters",Unknown,Unknown,Unknown,No,"Kortrijksesteenweg 626
9000 - Gand",http://www.arcade-vastgoed.be,Kortrijk - Studio,Arcade Vastgoed,As new,Yes,No,No,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,36
"128 kWh/m²
kilowatt hour per square meters",B,20180203--000203002-4--1,Not specified,Not specified,"€710/month
710€ per month",2800 — Mechelen,Apartment for rent,No,1 bedroom,1.0,Unknown,Unknown,1.0,Unknown,Yes,2.0,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,"Frederik de Merodestraat 3/1
2800 - Mechelen",Unknown,3744,ImmoVos Vastgoed,As new,Unknown,Unknown,Unknown,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,37
"149 kWh/m²
kilowatt hour per square meters",C,Not specified,Not specified,Not specified,"€740 (+ €75)
740€ + 75€ per month",1000 — Brussels City,Apartment for rent,No,"45 m²
square meters",2.0,Installed,Unknown,1.0,Gas,Unknown,3.0,4.0,"45 m²
square meters","< than 45 m²
square meters",Unknown,Yes,Unknown,Unknown,"Waterloosesteenweg 631
1050 - Brussel",http://www.dewaele.com,D1050-B-23019,Dewaele Brussels South,Good,Yes,No,No,Unknown,"This studio is located in the heart of Brussels, within walking distance of the main tourist attractions of the capital. It has been renovated with respect to the authentic elements of the building and has functional facilities throughout the apartment. The living room has a comfortable sitting area, a sleeping area and a 6-seater table. The kitchen has a wooden worktop, plenty of storage space and outlets, a sink, an electric stove with hood, a fridge and an oven. The separate shower room is equipped with storage space, mirrors and a sink. Elevator in the building and a flat rate of 75€ for the charges. Minimum one year contract possible.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Urban,Unknown,38
Not specified,Not specified,Not specified,43 kg CO₂/m²,Not specified,"€1,000 (+ €30)
1000€ + 30€ per month",1050 — Ixelles,Apartment for rent,No,"2 bedrooms | 70 m²
square meters",2.0,Hyper equipped,"12 m²
square meters",1.0,Gas,Yes,4.0,2.0,"70 m²
square meters","20 m²
square meters","12 m²
square meters",No,"3 m²
square meters",Unknown,"rue Antoine Breart 42
1060 - Saint-Gilles",Unknown,5233014,Nesting,As new,No,No,No,Immediately,"A proximité du Cimetière d'Ixelles, de l'ULB, des transports en communs et des commerces, Au 2ème étage sur 4 d'un petit immeuble calme, superbe appartement très lumineux et offrant : Vaste hall d'entrée, salon de +/-20m2, cuisine entièrement équipée donnant sur une terrasse de +/-3m2 orientée sud, deux chambres( 12m2 et 12m2), salle de bain, w.c. séparé. Vidéoparlophone. Porte blindée. Cave. Thermostat. Charges de 30 euros/mois (communs et entretien de l'adoucisseur d'eau). Libre immédiatement ! A visiter sans tarder !",All kind,-1.0,"12 m²
square meters",Unknown,Unknown,Unknown,1940.0,Possible No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Isolated,Unknown,39
"224 kWh/m²
kilowatt hour per square meters",E,Not specified,44 kg CO₂/m²,Not specified,"€700 (+ €45)
700€ + 45€ per month",Ask for the exact address,Studio for rent,No,"32 m²
square meters",1.0,Hyper equipped,Unknown,1.0,Electric,Yes,3.0,2.0,"32 m²
square meters","< than 32 m²
square meters",Unknown,No,"2 m²
square meters",Yes,"Route de Genval 32 B4
1380 - Ohain",http://kropek-immobilier.be,5231410,Kropek - Immobilier,Just renovated,No,No,No,Immediately,"Located on the back side of the building, only in contact with the gardens (very quiet), we offer this superb completely refurbished studio of +/- 32 sqm with terrace. Composed of a hall, a beautiful fully equipped open kitchen with worktop/counter (oven, extractor, induction hob, dishwasher, fridge with freezer and storage), connection for washing machine, a lounge area with sleeping area and giving access to the terrace, a shower room with washbasin cabinet + storage and a toilet. Local bikes. Charges: Provision of 45€/month for common areas + cold water. Equipment: new windows, new interphone, new heating system,... VISITS and INFO on 0483/608.003 or kropek.immobilier@gmail.com. Agency reference: JS78/1AD.",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,40
"227 kWh/m²
kilowatt hour per square meters",E,201407080000237882013,Not specified,Not specified,"€950 (+ €200)
950€ + 200€ per month",1000 — Bruxelles,Penthouse for rent,No,"1 bedroom | 65 m²
square meters",4.0,USA hyper equipped,"20 m²
square meters",1.0,Unknown,Yes,4.0,Unknown,"65 m²
square meters","35 m²
square meters","20 m²
square meters",Unknown,"25 m²
square meters",Unknown,"rue du Moulin 4
1340 - Ottignies",http://www.bureaugp.be,5233145,Bureau Gestion & Propriété,Good,Yes,Unknown,Unknown,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,41
"208 kWh/m²
kilowatt hour per square meters",D,20130622-0000172824-01-3,44 kg CO₂/m²,Not specified,"€1,195/month
1195€ per month",Ask for the exact address,Apartment for rent,No,"2 bedrooms | 100 m²
square meters",2.0,Installed,Unknown,1.0,Gas,No,3.0,2.0,"100 m²
square meters","42 m²
square meters",Unknown,No,"20 m²
square meters",Unknown,"Chaussée de Waterloo 1358A
1180 - Uccle",Unknown,726AB,LIKE HOME,Unknown,Unknown,Unknown,Unknown,Unknown,": Numéro de certificat PEB, : 44 Kg Co2m²an, : 208 Kwh . Kitchen equipment: Hotte aspirante, Aga, Washing Machine, Dishwasher, Oven, Freezer,, Kitchen Furniture . Other rooms: 1 WC, 1 Terrasse(s) . : 1 Bedroom(s) . Second floor:, Espace petit déjeuner, Lounge, 1 Bathroom(s), Dining Room, Kitchen, 1 Bedroom(s)",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1920.0,Possible No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,42
Not specified,Not specified,Not specified,Not specified,Not specified,"€625 (+ €35)
625€ + 35€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 45 m²
square meters",3.0,Installed,Unknown,1.0,Unknown,No,3.0,3.0,"45 m²
square meters","28 m²
square meters",Unknown,No,Unknown,Unknown,"Av. Henri Conscience 170
1140 - Evere",Unknown,3310,Cetexim,Unknown,Unknown,Unknown,Unknown,Unknown,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,43
"560 kWh/m²
kilowatt hour per square meters",G,Not specified,111 kg CO₂/m²,Not specified,"€950 (+ €150)
950€ + 150€ per month",Ask for the exact address,Apartment for rent,No,"1 bedroom | 70 m²
square meters",4.0,Installed,"15 m²
square meters",1.0,Gas,Yes,4.0,2.0,"70 m²
square meters","40 m²
square meters","15 m²
square meters",Yes,Unknown,Unknown,"Rue de Laeken 91
1000 - Bruxelles",Unknown,45551 - 186,Espace Immo Brussels CENTRE,Good,Unknown,Unknown,Unknown,To be defined,"Sorry, there is no English translation. Proche de la barrière de St Gilles et du Parvis - Au 4ème étage/4 d'un petit immeuble, magnifique duplex de +/- 70m² composé comme suit : un hall d’entrée, un grand et lumineux séjour +/-40m² avec parquet, une cuisine équipée, 1 belle chambre en mezzanine, une salle de bains avec wc et accès machine à laver - Cave - Double vitrage partout - Chauffage central au gaz - Provisions pour charges : 150€/mois (eau, chauffage et communs) (électricité individuelle) - PEB :G - Libre début mars 2023",All kind,-1.0,Unknown,Unknown,Unknown,Unknown,1900.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,44
Not specified,Not specified,Not specified,Not specified,Not specified,"€1,800 (+ €300)
1800€ + 300€ per month",1000 — Bruxelles ville,Apartment for rent,No,2 bedrooms,999.0,Unknown,"19 m²
square meters",1.0,Fuel oil,Unknown,999.0,Unknown,"> than 40 m²
square meters","40 m²
square meters","19 m²
square meters",Unknown,Unknown,Yes,"Avenue Louise 207/2
1050 - Bruxelles",http://www.gpartners.immo,Unknown,GPIMMO,Good,Unknown,Unknown,Unknown,Immediately,No description,All kind,-1.0,"16 m²
square meters",Unknown,Unknown,Unknown,-1.0,Possible No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,"Living area (residential, urban or rural)",Unknown,45
Not specified,Not specified,Not specified,Not specified,Not specified,"€480 (+ €75)
480€ + 75€ per month",Ask for the exact address,Studio for rent,No,1 bedroom,2.0,Unknown,"12 m²
square meters",1.0,Gas,No,999.0,3.0,Unknown,Unknown,"12 m²
square meters",Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Good,Unknown,Unknown,Unknown,Immediately,No description,All kind,-1.0,Unknown,Unknown,Unknown,Unknown,-1.0,Possible No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,46
